task_idx,class,train_time_s,n_connections,delta_connections,n_dead,n_mature,n_active,n_silent,n_newly_activated,mean_theta,mean_obs_var,mean_seen_acc
1,1,0.4550,14080,18,0,0,794,376,8,0.619038,0.07212986,0.800000
2,2,0.4556,14216,20,0,0,794,327,31,0.621695,0.06632956,0.480000
3,3,0.4704,14413,20,0,0,794,297,5,0.615107,0.06151456,0.290000
4,4,0.4839,14668,20,0,0,794,270,5,0.632100,0.05690727,0.256000
5,5,0.5478,14974,20,0,0,794,246,3,0.624701,0.05522326,0.166667
6,6,0.4703,15347,20,0,0,794,229,4,0.652355,0.05317458,0.150000
7,7,0.4968,15774,19,0,0,794,215,8,0.640862,0.05104173,0.212500
8,8,0.4946,16252,20,0,0,794,193,0,0.639246,0.05146201,0.115556
9,9,0.4763,16808,20,0,0,794,185,3,0.627569,0.05059759,0.100000
0,0,0.4732,14033,10,0,0,794,424,370,0.635235,0.08683409,1.000000
1,1,0.5292,14108,15,0,0,794,375,4,0.634088,0.07188888,0.955000
2,2,0.4631,14247,20,0,0,794,334,25,0.621710,0.06657700,0.570000
3,3,0.4648,14443,20,0,0,794,295,5,0.600598,0.06111217,0.280000
4,4,0.4629,14702,20,0,0,794,271,7,0.600810,0.05752866,0.236000
5,5,0.5233,15018,20,0,0,794,263,0,0.620050,0.05405899,0.180000
6,6,0.4612,15395,20,0,0,794,249,2,0.637699,0.05198105,0.150000
7,7,0.4670,15822,20,0,0,794,214,11,0.627936,0.04987514,0.143750
8,8,0.4801,16312,20,0,0,794,196,0,0.650673,0.04864205,0.113333
9,9,0.4731,16855,20,0,0,794,189,1,0.662390,0.04807005,0.101000
0,0,0.5823,14081,10,0,0,794,434,360,0.627234,0.08864035,1.000000
1,1,0.5848,14160,19,0,0,794,373,10,0.644066,0.07373457,0.890000
2,2,0.5765,14290,20,0,0,794,330,17,0.638596,0.06835286,0.523333
3,3,0.5808,14486,20,0,0,794,300,7,0.659501,0.06253403,0.275000
4,4,0.5596,14739,20,0,0,794,278,1,0.669002,0.05834307,0.246000
